dEven,pOpening,pMax,pMin,pClosing,pDrCotVal,qTotTran5J,qTotCap,zTotTran,sma20,sma50,sma200,ema12,ema26,macd,macd_signal,rsi14,atr14,volume_sma20,signals
20200826,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200831,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200901,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200902,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200905,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200906,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200907,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200908,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200909,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200912,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200913,,,,100000.0,100000.0,0.0,0.0,0.0,,,,,,,,,,,
20200914,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,,,,
20200915,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,,,,
20200916,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,,,,
20200919,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,100,,,rsi_overbought
20200920,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,100,,,rsi_overbought
20200921,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,100,,,rsi_overbought
20200922,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,100,,,rsi_overbought
20200923,,,,100000.0,100000.0,0.0,0.0,0.0,,,,100000.0,,,,100,,,rsi_overbought
20200926,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,,,,100,,0.0,rsi_overbought
20200927,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,,,,100,,0.0,rsi_overbought
20200928,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,,,,100,,0.0,rsi_overbought
20200929,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,,,,100,,0.0,rsi_overbought
20200930,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,,,,100,,0.0,rsi_overbought
20201003,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,,,,100,,0.0,rsi_overbought
20201004,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
20201005,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
20201006,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
20201007,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
20201010,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
20201011,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
20201012,,,,100000.0,100000.0,0.0,0.0,0.0,100000.0,,,100000.0,100000.0,0.0,,100,,0.0,rsi_overbought
