close,date,drawdown_60,rsi14,type,volume_ratio20
100000.0,20200919,,100.0,RSI_OVERBOUGHT,
100000.0,20200920,,100.0,RSI_OVERBOUGHT,
100000.0,20200921,,100.0,RSI_OVERBOUGHT,
100000.0,20200922,,100.0,RSI_OVERBOUGHT,
100000.0,20200923,,100.0,RSI_OVERBOUGHT,
100000.0,20200926,,100.0,RSI_OVERBOUGHT,
100000.0,20200927,,100.0,RSI_OVERBOUGHT,
100000.0,20200928,,100.0,RSI_OVERBOUGHT,
100000.0,20200929,,100.0,RSI_OVERBOUGHT,
100000.0,20200930,,100.0,RSI_OVERBOUGHT,
100000.0,20201003,,100.0,RSI_OVERBOUGHT,
100000.0,20201004,,100.0,RSI_OVERBOUGHT,
100000.0,20201005,,100.0,RSI_OVERBOUGHT,
100000.0,20201006,,100.0,RSI_OVERBOUGHT,
100000.0,20201007,,100.0,RSI_OVERBOUGHT,
100000.0,20201010,,100.0,RSI_OVERBOUGHT,
100000.0,20201011,,100.0,RSI_OVERBOUGHT,
100000.0,20201012,,100.0,RSI_OVERBOUGHT,
100000.0,20201013,,100.0,RSI_OVERBOUGHT,
100000.0,20201014,,100.0,RSI_OVERBOUGHT,
100000.0,20201018,,100.0,RSI_OVERBOUGHT,
100000.0,20201019,,100.0,RSI_OVERBOUGHT,
100000.0,20201020,,100.0,RSI_OVERBOUGHT,
100000.0,20201021,,100.0,RSI_OVERBOUGHT,
100000.0,20201024,,100.0,RSI_OVERBOUGHT,
100000.0,20201026,,100.0,RSI_OVERBOUGHT,
100000.0,20201027,,100.0,RSI_OVERBOUGHT,
100000.0,20201028,,100.0,RSI_OVERBOUGHT,
100000.0,20201031,,100.0,RSI_OVERBOUGHT,
100000.0,20201101,,100.0,RSI_OVERBOUGHT,
100000.0,20201102,,100.0,RSI_OVERBOUGHT,
100000.0,20201104,,100.0,RSI_OVERBOUGHT,
100000.0,20201107,,100.0,RSI_OVERBOUGHT,
100000.0,20201108,,100.0,RSI_OVERBOUGHT,
100000.0,20201109,,100.0,RSI_OVERBOUGHT,
100000.0,20201110,,100.0,RSI_OVERBOUGHT,
100000.0,20201111,,100.0,RSI_OVERBOUGHT,
100000.0,20201114,,100.0,RSI_OVERBOUGHT,
100000.0,20201115,,100.0,RSI_OVERBOUGHT,
100000.0,20201116,,100.0,RSI_OVERBOUGHT,
100000.0,20201117,,100.0,RSI_OVERBOUGHT,
100000.0,20201118,,100.0,RSI_OVERBOUGHT,
100000.0,20201121,,100.0,RSI_OVERBOUGHT,
100000.0,20201122,,100.0,RSI_OVERBOUGHT,
100000.0,20201123,,100.0,RSI_OVERBOUGHT,
100000.0,20201124,,100.0,RSI_OVERBOUGHT,
100000.0,20201125,,100.0,RSI_OVERBOUGHT,
100000.0,20201128,,100.0,RSI_OVERBOUGHT,
100000.0,20201129,,100.0,RSI_OVERBOUGHT,
100000.0,20201130,,100.0,RSI_OVERBOUGHT,
113740.0,20201201,,,GOLDEN_CROSS,
113740.0,20201201,,100.0,RSI_OVERBOUGHT,
113740.0,20201201,,,VOLUME_SPIKE_2X,20.0
113740.0,20201201,,,BREAKOUT_UP_20D,
106170.0,20201202,,,VOLUME_SPIKE_2X,13.7
105990.0,20201205,,,VOLUME_SPIKE_2X,7.01
108270.0,20201206,,,VOLUME_SPIKE_2X,5.35
104470.0,20201207,,,VOLUME_SPIKE_2X,4.0
101150.0,20201208,,,VOLUME_SPIKE_2X,2.39
100260.0,20201209,,,VOLUME_SPIKE_2X,2.04
100140.0,20201212,,,VOLUME_SPIKE_2X,2.29
104170.0,20201213,,,VOLUME_SPIKE_2X,3.17
96980.0,20201215,,,BREAKOUT_DOWN_20D,
94750.0,20201216,,,BREAKOUT_DOWN_20D,
94750.0,20201216,-0.167,,DRAWDOWN_15PCT_60D,
